app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
dummy/roofline,ops_4096__n-elems_4194304__repeat_24,,,1,8,0,slow_sim32x,23.546015883,N/A,1024.0000,4096,4194304,0.0448,46.6976
dummy/roofline,ops_48__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,3.377006772,N/A,12.0000,48,4194304,1.9072,22.8928
dummy/roofline,ops_4__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.494821312,N/A,1.0000,4,4194304,2.5824,2.5824
dummy/roofline,ops_512__n-elems_4194304__repeat_92,,,4,8,0,slow_sim32x,12.317847417,N/A,128.0000,512,4194304,0.3488,44.6304
dummy/roofline,ops_6144__n-elems_4194304__repeat_16,,,1,8,0,slow_sim32x,35.176303089,N/A,1536.0000,6144,4194304,0.0320,46.8864
dummy/roofline,ops_64__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,3.594723775,N/A,16.0000,64,4194304,1.7920,28.6752
dummy/roofline,ops_6__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.513608082,N/A,1.5000,6,4194304,2.5632,3.8432
dummy/roofline,ops_768__n-elems_4194304__repeat_77,,,3,8,0,slow_sim32x,13.710716947,N/A,192.0000,768,4194304,0.2336,45.1104
dummy/roofline,ops_8192__n-elems_4194304__repeat_12,,,1,8,0,slow_sim32x,46.813983438,N/A,2048.0000,8192,4194304,0.0224,46.9728
dummy/roofline,ops_8__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.481104163,N/A,2.0000,8,4194304,2.5952,5.1936
dummy/roofline,ops_96__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,4.206274021,N/A,24.0000,96,4194304,1.5328,36.7584
